"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2009","PHI","93","69","44","621","162","1455.2","7.13","3.02","1.17",".296","75.0%","40.8%","11.0%","91.1","4.16","","4.36","4.22","12.4"
"2004","NYM","71","91","31","636","162","1449.0","6.07","3.68","0.97",".284","72.7%","45.7%","9.9%","","4.10","","4.43","4.61","12.3"
"2006","FLA","78","84","41","600","162","1433.1","6.83","3.91","1.04",".299","72.0%","42.7%","10.0%","","4.37","","4.59","4.72","12.2"
"2001","STL","93","69","38","646","162","1435.1","6.79","3.30","1.23",".281","76.1%","","","","3.96","","4.57","","12.2"
"2015","MIA","71","91","35","648","162","1427.0","7.27","3.20","0.89",".294","72.3%","44.5%","9.5%","93.7","4.04","","3.98","4.23","12.2"
"2014","SDP","77","85","41","643","162","1438.2","8.03","2.89","0.73",".289","74.9%","45.2%","8.6%","92.2","3.27","","3.46","3.57","12.2"
"2002","TOR","78","84","41","623","162","1438.1","6.20","3.69","1.11",".294","69.7%","43.9%","10.9%","","4.81","","4.56","4.53","12.2"
"2018","LAA","80","82","35","763","162","1437.1","8.68","3.42","1.28",".294","74.1%","42.1%","14.1%","93.0","4.15","","4.36","4.18","12.2"
"2015","LAA","85","77","46","680","162","1440.2","7.63","2.91","1.04",".285","73.3%","41.5%","10.0%","91.8","3.94","","4.05","4.26","12.2"
"2007","KCR","69","93","36","610","162","1437.1","6.22","3.26","1.05",".304","71.0%","41.1%","9.3%","91.5","4.50","","4.55","4.61","12.1"
"2003","CLE","68","94","34","590","162","1459.1","5.82","3.09","1.10",".284","70.6%","44.0%","11.7%","","4.21","","4.50","4.43","12.1"
"2016","KCR","81","81","41","634","162","1440.0","8.04","3.23","1.29",".298","75.4%","44.3%","13.4%","93.8","4.21","","4.42","4.33","12.1"
"2000","BAL","74","88","33","558","162","1433.1","6.39","4.18","1.27",".298","67.9%","","","","5.37","","5.01","","12.0"
"2011","STL","90","72","47","630","162","1462.0","6.76","2.76","0.84",".296","71.6%","47.7%","9.3%","93.2","3.79","","3.75","3.79","12.0"
"2018","ARI","82","80","39","735","162","1463.0","8.91","3.21","1.07",".289","75.7%","47.3%","13.7%","92.1","3.73","","3.91","3.81","12.0"
"2011","NYM","77","85","43","676","162","1448.0","7.00","3.19","0.91",".299","71.2%","46.1%","9.4%","92.0","4.19","","4.00","4.04","11.9"
"2022","BAL","83","79","46","703","162","1433.1","7.62","2.78","1.07",".296","73.2%","43.2%","10.9%","93.5","3.97","","4.03","4.10","11.9"
"2005","ARI","77","85","45","620","162","1456.1","6.41","3.32","1.19",".303","69.3%","45.4%","12.9%","","4.87","","4.55","4.25","11.9"
"2015","BOS","78","84","40","637","162","1448.1","7.57","2.97","1.11",".305","71.6%","44.1%","11.6%","93.1","4.34","","4.17","4.14","11.8"
"2002","FLA","79","83","36","623","162","1456.1","6.82","3.90","0.93",".295","71.4%","43.1%","9.6%","","4.36","","4.21","4.37","11.8"
"2007","HOU","73","89","38","638","162","1464.2","6.81","3.13","1.27",".300","71.7%","44.0%","11.5%","90.8","4.70","","4.73","4.44","11.8"
"2011","ARI","94","68","58","625","162","1443.1","6.60","2.76","0.99",".286","73.9%","41.9%","9.5%","92.0","3.80","","4.02","4.05","11.8"
"2003","BAL","71","91","41","588","163","1449.2","6.09","3.27","1.23",".301","71.5%","42.4%","12.4%","","4.76","","4.71","4.54","11.8"
"2004","TOR","67","94","37","592","161","1421.0","6.05","3.85","1.15",".296","70.3%","44.7%","11.2%","","4.93","","4.77","4.77","11.7"
"2001","MIN","85","77","45","564","162","1441.1","6.03","2.78","1.20",".287","71.2%","","","","4.51","","4.48","","11.7"
"2005","SFG","75","87","46","673","162","1444.1","6.06","3.69","0.94",".289","71.6%","42.2%","9.0%","","4.35","","4.35","4.59","11.7"
"2015","DET","74","87","35","666","161","1447.0","6.84","3.04","1.20",".298","69.7%","42.9%","12.0%","93.1","4.64","","4.46","4.36","11.7"
"2009","HOU","74","88","39","659","162","1430.0","7.20","3.44","1.11",".311","72.0%","45.6%","11.5%","92.5","4.54","","4.35","4.16","11.6"
"2011","WSN","80","81","49","664","161","1449.1","6.51","2.96","0.80",".287","73.6%","44.6%","8.2%","93.2","3.58","","3.83","4.04","11.6"
"2017","DET","64","98","32","672","162","1420.1","7.62","3.41","1.38",".320","68.7%","39.4%","12.8%","93.4","5.36","","4.73","4.87","11.5"
"2013","MIN","66","96","40","673","162","1450.1","6.11","2.84","1.04",".309","70.2%","43.7%","10.2%","91.2","4.55","","4.23","4.28","11.5"
"2012","ATL","94","68","47","622","162","1445.1","7.67","2.89","0.90",".284","75.4%","47.2%","10.8%","92.0","3.42","","3.74","3.80","11.4"
"2010","STL","86","76","32","617","162","1453.2","6.77","2.95","0.82",".292","74.0%","49.5%","9.2%","92.1","3.57","","3.85","3.87","11.4"
"2017","SFG","64","98","32","664","162","1452.0","7.65","3.07","1.13",".308","71.1%","42.5%","11.5%","92.7","4.50","","4.22","4.53","11.4"
"2018","MIN","78","84","37","728","162","1443.1","8.59","3.57","1.23",".302","72.4%","41.6%","13.2%","92.7","4.50","","4.39","4.33","11.4"
"2008","HOU","86","75","48","649","161","1425.1","6.91","3.11","1.24",".293","72.8%","43.3%","12.1%","91.6","4.39","","4.53","4.24","11.4"
"2003","ANA","77","85","39","537","162","1431.1","6.16","3.06","1.19",".283","72.6%","39.4%","11.1%","","4.28","","4.57","4.58","11.3"
"2002","CIN","78","84","42","624","162","1453.2","6.07","3.41","1.07",".293","71.5%","45.8%","11.5%","","4.29","","4.41","4.31","11.3"
"2013","CHC","66","96","39","651","162","1448.0","7.36","3.36","0.99",".279","72.8%","42.4%","10.3%","92.7","4.00","","4.10","4.13","11.3"
"2005","LAD","71","91","40","620","162","1427.1","6.33","2.97","1.15",".285","70.8%","45.9%","12.0%","","4.38","","4.40","4.20","11.3"
"2002","DET","55","106","33","533","161","1414.0","5.05","2.95","1.04",".302","66.4%","42.3%","9.3%","","4.94","","4.45","4.68","11.2"
"2020","CLE","35","25","20","241","60","536.0","10.43","2.64","1.14",".285","78.5%","40.5%","13.4%","93.3","3.29","","3.55","3.73","11.2"
"2017","TEX","78","84","29","626","162","1434.1","6.95","3.51","1.34",".289","70.9%","44.2%","13.6%","93.3","4.70","","4.88","4.89","11.2"
"2013","BAL","85","77","57","635","162","1453.0","7.24","2.93","1.25",".291","74.6%","42.2%","12.9%","92.7","4.20","","4.33","3.99","11.1"
"2016","MIL","73","89","46","675","162","1434.1","7.37","3.34","1.12",".300","73.1%","46.0%","12.4%","93.3","4.10","","4.37","4.42","11.1"
"2009","SDP","75","87","45","689","162","1450.2","7.36","3.74","1.04",".294","70.9%","43.5%","10.1%","91.0","4.37","","4.30","4.29","11.1"
"2007","DET","88","74","44","605","162","1447.1","6.51","3.52","1.08",".295","70.7%","44.2%","10.2%","92.5","4.58","","4.67","4.59","11.1"
"2015","TEX","88","74","45","660","162","1442.2","6.83","3.17","1.07",".294","72.4%","44.2%","11.2%","92.8","4.25","","4.34","4.37","11.0"
"2017","LAA","80","82","43","705","162","1440.2","8.20","2.94","1.40",".289","74.9%","41.6%","14.1%","92.9","4.20","","4.43","4.37","11.0"
"2007","BAL","69","93","30","652","162","1438.2","6.80","4.35","1.01",".302","68.4%","44.9%","9.7%","90.4","5.19","","4.78","4.78","11.0"
"2011","CHC","71","91","40","657","162","1434.1","7.68","3.64","1.02",".301","71.3%","43.0%","10.3%","92.0","4.34","","4.11","4.02","11.0"
"2006","ATL","79","83","38","684","162","1441.1","6.55","3.57","1.14",".300","71.1%","45.0%","11.6%","","4.60","","4.65","4.53","11.0"
"2000","TEX","71","91","39","577","162","1429.0","5.78","4.16","1.27",".314","67.5%","","","","5.52","","5.21","","11.0"
"2000","PHI","65","97","34","575","162","1438.2","7.03","4.00","1.26",".292","70.5%","","","","4.79","","4.81","","10.9"
"2007","PIT","68","94","32","657","162","1447.2","6.20","3.22","1.08",".315","69.5%","44.1%","10.0%","91.3","4.94","","4.66","4.60","10.9"
"2012","SFG","94","68","53","688","162","1451.0","7.67","3.03","0.88",".289","73.6%","46.0%","9.9%","91.4","3.68","","3.78","3.95","10.9"
"2014","MIL","82","80","45","640","162","1457.2","7.69","2.66","1.03",".289","74.0%","45.6%","11.3%","92.6","3.67","","3.89","3.65","10.9"
"2018","TEX","67","95","42","668","162","1431.0","7.05","3.09","1.40",".299","69.6%","43.0%","14.1%","93.0","4.92","","4.79","4.58","10.9"
"2004","DET","72","90","35","594","162","1439.2","6.22","3.31","1.19",".299","68.9%","45.9%","11.7%","","4.93","","4.60","4.52","10.9"
"2015","CIN","64","98","35","683","162","1453.1","7.75","3.37","1.10",".297","71.7%","44.1%","12.1%","94.0","4.35","","4.24","4.14","10.8"
"2021","CLE","80","82","39","697","162","1408.0","8.89","3.34","1.38",".282","72.8%","42.6%","14.7%","93.9","4.34","","4.43","4.27","10.7"
"2014","CHW","73","89","36","615","162","1441.0","7.20","3.48","0.87",".306","70.4%","46.1%","9.4%","93.0","4.30","","4.10","4.11","10.7"
"2022","MIN","78","84","28","710","162","1437.0","8.37","2.93","1.15",".285","73.3%","40.0%","11.0%","92.8","3.98","","4.03","4.10","10.7"
"2016","MIN","59","103","26","695","162","1443.0","7.43","2.99","1.38",".319","68.3%","43.0%","13.9%","92.5","5.09","","4.57","4.42","10.7"
"2011","TOR","81","81","33","636","162","1458.2","7.21","3.33","1.10",".290","71.6%","44.4%","11.3%","92.7","4.33","","4.29","4.06","10.7"
"2011","KCR","71","91","37","582","162","1451.1","6.70","3.45","1.01",".299","71.5%","43.9%","9.9%","93.1","4.45","","4.27","4.24","10.7"
"2004","ARI","51","111","33","633","162","1436.0","7.23","4.19","1.23",".297","68.0%","46.1%","13.5%","","4.98","","4.78","4.47","10.6"
"2015","ARI","79","83","44","712","162","1466.2","7.46","3.07","1.12",".294","73.7%","45.7%","12.3%","93.6","4.05","","4.21","4.09","10.6"
"2016","TBR","68","94","42","647","162","1426.1","8.56","3.10","1.33",".297","74.2%","41.0%","13.1%","93.3","4.20","","4.26","4.22","10.6"
"2014","BOS","71","91","36","655","162","1465.2","7.45","2.96","0.95",".301","71.8%","43.6%","9.9%","92.6","4.01","","3.93","3.87","10.6"
"2010","WSN","69","93","37","656","162","1435.0","6.70","3.21","0.95",".297","70.8%","44.5%","9.4%","91.1","4.13","","4.12","4.13","10.4"
"2012","LAA","89","73","38","606","162","1433.1","7.26","3.03","1.17",".277","72.6%","43.9%","12.1%","92.7","4.02","","4.26","4.15","10.4"
"2001","COL","73","89","26","636","162","1430.0","6.66","3.76","1.50",".295","69.1%","","","","5.29","","5.13","","10.4"
"2006","CHC","66","96","29","704","162","1439.0","7.82","4.30","1.31",".286","70.9%","41.6%","12.8%","","4.74","","4.88","4.58","10.4"
"2009","NYM","70","92","39","673","162","1426.0","6.51","3.89","1.00",".292","71.8%","42.5%","9.1%","91.9","4.46","","4.50","4.66","10.4"
"2008","PIT","67","95","34","659","162","1455.0","5.96","4.06","1.09",".311","69.5%","44.0%","10.8%","92.3","5.10","","4.84","4.74","10.4"
"2019","DET","47","114","31","738","161","1433.0","8.59","3.37","1.57",".317","68.8%","42.7%","15.9%","92.7","5.26","","4.84","4.75","10.3"
"2015","PHI","63","99","35","665","162","1436.1","7.22","3.06","1.20",".316","71.1%","44.0%","12.2%","92.8","4.69","","4.40","4.29","10.3"
"2000","MIL","73","89","29","596","163","1466.1","5.94","4.47","1.07",".291","71.6%","","","","4.63","","4.98","","10.3"
"2005","COL","67","95","37","621","162","1418.2","6.22","3.83","1.11",".314","69.8%","44.2%","11.3%","","5.14","","4.70","4.59","10.2"
"2016","ARI","69","93","31","737","162","1451.1","8.17","3.74","1.25",".320","68.7%","46.0%","14.1%","93.7","5.09","","4.50","4.34","10.1"
"2013","LAA","78","84","41","658","162","1457.2","7.41","3.29","1.03",".300","72.3%","42.1%","10.4%","92.4","4.24","","4.08","4.10","10.1"
"2020","CIN","31","29","9","228","60","504.0","10.98","3.80","1.20",".278","72.8%","43.2%","14.6%","94.6","3.89","","3.92","3.95","10.1"
"2001","CIN","66","96","35","623","162","1442.2","5.88","3.21","1.24",".297","69.2%","","","","4.78","","4.70","","10.1"
"2018","DET","64","98","37","704","162","1425.1","7.67","3.10","1.36",".291","70.5%","39.6%","12.9%","92.2","4.60","","4.59","4.55","10.0"
"2001","BAL","63","98","31","554","162","1432.1","5.89","3.32","1.22",".289","69.6%","","","","4.70","","4.76","","9.9"
"2007","PHI","89","73","42","660","162","1458.1","6.48","3.44","1.22",".301","71.5%","43.5%","11.9%","90.8","4.76","","4.86","4.52","9.9"
"2009","CLE","65","97","25","607","162","1434.0","6.19","3.75","1.15",".305","68.9%","43.1%","10.3%","91.1","5.07","","4.73","4.69","9.9"
"2015","MIL","68","94","40","658","162","1435.0","7.90","3.24","1.10",".303","72.1%","46.1%","12.7%","93.0","4.28","","4.17","3.99","9.9"
"2022","CIN","62","100","31","736","162","1423.1","8.94","3.87","1.35",".298","71.1%","40.6%","13.3%","94.7","4.86","","4.59","4.31","9.9"
"2014","HOU","70","92","31","600","162","1438.2","7.11","3.03","0.87",".299","70.3%","46.4%","9.6%","92.6","4.14","","3.93","3.91","9.9"
"2018","CHW","62","100","34","715","162","1437.0","7.89","4.09","1.23",".292","69.4%","40.8%","11.7%","93.3","4.85","","4.73","4.88","9.8"
"2007","STL","78","84","34","678","162","1435.2","5.92","3.19","1.05",".293","68.1%","43.5%","9.6%","91.2","4.67","","4.66","4.67","9.8"
"2010","BAL","66","96","35","616","162","1436.1","6.31","3.26","1.17",".294","71.3%","42.1%","10.2%","92.2","4.59","","4.57","4.44","9.8"
"2022","BOS","78","84","39","738","162","1431.0","8.47","3.31","1.16",".304","69.8%","42.8%","11.8%","94.1","4.53","","4.17","4.11","9.8"
"2003","KCR","83","79","36","570","162","1438.2","5.41","3.54","1.19",".295","68.9%","41.6%","11.0%","","5.07","","4.86","4.90","9.7"
"2015","SDP","74","88","41","678","162","1440.1","8.70","3.22","1.07",".303","71.1%","46.9%","13.3%","93.3","4.09","","3.93","3.71","9.7"
"2010","CLE","69","93","34","632","162","1433.0","6.07","3.59","0.92",".297","71.4%","47.9%","9.3%","92.2","4.30","","4.40","4.41","9.7"
"2005","DET","71","91","37","587","162","1435.2","5.69","2.89","1.21",".290","70.4%","45.7%","11.9%","","4.52","","4.57","4.38","9.7"
"2004","MON","67","95","31","624","162","1447.0","6.42","3.62","1.19",".291","73.2%","44.6%","12.1%","","4.33","","4.71","4.58","9.7"
"2017","OAK","75","87","35","687","162","1431.0","7.56","3.16","1.32",".294","68.9%","44.9%","13.9%","92.8","4.67","","4.57","4.54","9.6"
"2022","PIT","62","100","33","666","162","1421.0","7.92","3.71","1.04",".304","68.7%","43.9%","10.9%","93.8","4.66","","4.27","4.34","9.5"
"2000","SDP","76","86","46","605","162","1459.1","6.61","4.00","1.18",".282","71.1%","","","","4.52","","4.84","","9.5"
"2013","TOR","74","88","39","649","162","1452.0","7.49","3.10","1.21",".293","72.3%","44.0%","12.3%","92.0","4.26","","4.30","4.04","9.5"
"2004","CLE","80","82","32","641","162","1466.2","6.84","3.55","1.23",".301","69.9%","43.8%","12.3%","","4.82","","4.62","4.47","9.4"
"2022","DET","66","96","38","742","162","1419.2","7.58","3.24","1.06",".284","71.3%","41.7%","10.2%","93.0","4.04","","4.16","4.34","9.4"
"2008","SEA","61","101","36","631","162","1435.1","6.37","3.93","1.01",".307","70.7%","44.7%","9.8%","91.5","4.73","","4.59","4.65","9.4"
"2014","SFG","88","74","46","637","162","1449.0","7.52","2.42","0.83",".282","72.7%","45.9%","9.4%","91.7","3.50","","3.58","3.59","9.4"
"2020","MIN","36","24","17","262","60","513.1","9.38","2.98","1.09",".288","76.8%","40.8%","12.1%","92.0","3.58","","3.79","4.15","9.4"
"2010","KCR","67","95","44","603","162","1436.2","6.48","3.45","1.10",".304","68.6%","42.5%","9.8%","92.3","4.97","","4.48","4.41","9.3"
"2017","SEA","78","84","39","689","162","1440.1","7.77","3.06","1.48",".283","72.7%","40.3%","14.1%","93.2","4.46","","4.70","4.64","9.3"
"2005","SEA","69","93","39","595","162","1427.2","5.62","3.13","1.13",".287","72.0%","41.4%","9.9%","","4.49","","4.56","4.68","9.3"
"2014","TEX","67","95","33","638","162","1426.1","7.00","3.19","1.01",".310","70.4%","39.5%","9.3%","92.2","4.49","","4.22","4.26","9.3"
"2012","HOU","55","107","31","703","162","1423.1","7.40","3.41","1.09",".306","70.0%","47.9%","12.2%","92.7","4.57","","4.27","4.15","9.3"
"2007","TBD","66","96","28","645","162","1429.2","7.52","3.58","1.25",".331","66.8%","41.8%","11.1%","92.0","5.53","","4.70","4.47","9.2"
"2012","COL","64","98","36","737","162","1422.0","7.24","3.58","1.25",".325","68.9%","45.2%","13.7%","92.9","5.22","","4.59","4.28","9.2"
"2008","TEX","79","83","36","619","162","1442.0","6.01","3.90","1.10",".315","65.6%","43.2%","10.2%","92.4","5.37","","4.83","4.82","9.2"
"2007","TEX","75","87","42","629","162","1430.0","6.14","4.20","0.98",".303","69.4%","46.5%","9.7%","91.5","4.76","","4.83","4.82","9.2"
"2008","STL","86","76","42","668","162","1454.0","5.92","3.07","1.01",".295","72.9%","45.3%","10.3%","92.4","4.20","","4.40","4.37","9.1"
"2020","MIL","29","31","14","249","60","517.1","10.68","3.29","1.17",".296","70.5%","46.6%","15.2%","93.3","4.18","","3.80","3.76","9.1"
"2003","PIT","75","87","44","619","162","1444.1","5.77","3.13","1.11",".292","70.0%","45.2%","11.8%","","4.65","","4.52","4.44","9.1"
"2015","SEA","76","86","45","671","162","1463.0","7.89","3.02","1.11",".298","72.8%","46.3%","12.5%","93.3","4.16","","4.14","3.99","9.1"
"2008","CIN","74","88","34","669","162","1442.1","7.66","3.48","1.25",".312","72.5%","42.7%","12.7%","92.2","4.55","","4.54","4.18","9.1"
"2016","ATL","68","93","39","748","161","1447.2","7.63","3.40","1.10",".293","70.2%","44.7%","11.7%","93.8","4.51","","4.32","4.48","9.0"
"2016","PIT","78","83","51","687","162","1450.2","7.64","3.31","1.12",".306","72.5%","46.9%","13.0%","94.0","4.22","","4.30","4.28","9.0"
"2001","PIT","62","100","36","572","162","1416.1","5.77","3.49","1.06",".293","66.9%","","","","5.05","","4.63","","9.0"
"2004","KCR","58","104","25","571","162","1420.1","5.62","3.28","1.32",".307","68.0%","41.0%","11.3%","","5.16","","4.92","4.90","9.0"
"2017","ATL","72","90","36","692","162","1441.1","7.86","3.65","1.20",".302","70.1%","44.5%","12.5%","93.9","4.72","","4.51","4.67","9.0"
"2002","SDP","66","96","40","622","162","1436.1","6.94","3.65","1.11",".306","70.5%","44.4%","11.8%","","4.66","","4.37","4.22","8.9"
"2020","LAD","43","17","15","309","60","538.2","8.64","2.42","1.10",".252","75.8%","46.3%","13.2%","94.4","3.02","","3.79","3.99","8.9"
"2004","SEA","63","99","28","576","162","1459.1","6.39","3.55","1.31",".286","71.5%","39.3%","11.3%","","4.76","","4.85","4.84","8.9"
"2017","MIN","85","77","42","682","162","1436.0","7.31","3.03","1.40",".296","72.5%","42.4%","13.5%","92.4","4.60","","4.71","4.75","8.9"
"2003","TEX","71","91","43","656","162","1433.1","6.34","3.79","1.31",".313","66.1%","40.9%","13.9%","","5.69","","4.90","4.54","8.9"
"2019","TOR","67","95","33","753","162","1440.1","8.32","3.77","1.42",".300","71.8%","43.1%","14.9%","93.2","4.79","","4.82","4.88","8.9"
"2022","TEX","68","94","37","694","162","1435.0","8.24","3.64","1.06",".292","71.2%","45.9%","11.9%","94.7","4.22","","4.18","4.11","8.9"
"2021","DET","77","85","42","739","162","1419.2","7.98","3.62","1.26",".289","72.6%","44.5%","13.2%","94.1","4.32","","4.60","4.65","8.8"
"2006","TBD","61","101","33","606","162","1420.1","6.20","3.84","1.14",".312","70.1%","42.5%","10.3%","","4.97","","4.83","4.91","8.8"
"2002","BAL","67","95","31","569","162","1450.2","6.00","3.41","1.29",".286","73.3%","45.5%","13.2%","","4.46","","4.74","4.38","8.8"
"2003","COL","74","88","34","662","162","1420.0","5.49","3.50","1.27",".307","69.2%","43.7%","12.9%","","5.24","","4.99","4.74","8.8"
"2015","SFG","84","78","41","719","162","1444.1","7.26","2.69","0.97",".283","74.5%","46.0%","10.8%","92.3","3.73","","3.91","3.98","8.8"
"2000","HOU","72","90","30","572","162","1437.2","6.66","3.74","1.46",".303","68.0%","","","","5.42","","5.14","","8.7"
"2018","CIN","67","95","38","706","162","1441.0","7.86","3.32","1.42",".300","71.5%","44.4%","15.8%","94.0","4.65","","4.68","4.28","8.7"
"2017","NYM","70","92","34","730","162","1434.2","8.62","3.72","1.38",".319","70.4%","44.4%","14.9%","93.6","5.01","","4.59","4.42","8.7"
"2022","CHC","74","88","44","690","162","1443.2","8.62","3.37","1.29",".287","73.5%","43.1%","13.5%","92.8","4.03","","4.33","4.04","8.7"
"2019","PIT","69","93","31","712","162","1440.0","9.02","3.65","1.51",".315","68.9%","42.2%","15.7%","93.7","5.19","","4.78","4.72","8.7"
"2016","SDP","68","94","35","672","162","1440.0","7.64","3.56","1.14",".296","71.3%","46.4%","12.6%","92.7","4.44","","4.40","4.42","8.6"
"2017","BAL","75","87","35","654","162","1441.0","7.70","3.62","1.51",".302","72.2%","44.6%","15.4%","93.3","4.97","","4.96","4.72","8.6"
"2011","PIT","72","90","43","711","162","1449.1","6.40","3.32","0.94",".300","73.7%","45.6%","9.8%","93.2","4.05","","4.20","4.18","8.5"
"2019","PHI","81","81","36","726","162","1453.2","8.62","3.38","1.60",".298","74.7%","43.1%","17.9%","93.0","4.53","","4.88","4.55","8.5"
"2018","TOR","73","89","39","752","162","1433.2","8.15","3.46","1.31",".306","70.0%","42.5%","12.7%","91.9","4.85","","4.53","4.54","8.5"
"2013","ARI","81","81","38","689","162","1495.0","7.33","2.92","1.06",".292","74.5%","46.0%","12.2%","92.3","3.92","","4.04","3.83","8.5"
"2013","SDP","76","86","40","650","162","1455.0","7.24","3.25","0.96",".292","72.5%","45.8%","10.8%","92.3","3.98","","4.00","3.96","8.4"
"2007","FLA","71","91","40","722","162","1443.2","7.12","4.12","1.10",".321","69.4%","41.7%","10.2%","91.3","4.96","","4.77","4.69","8.3"
"2008","DET","74","88","34","602","162","1445.0","6.17","4.01","1.07",".302","69.4%","42.0%","9.7%","92.5","4.91","","4.79","4.86","8.3"
"2020","SDP","37","23","13","278","60","520.1","9.77","2.94","1.21",".290","74.0%","42.5%","14.1%","95.2","3.87","","3.88","3.97","8.3"
"2019","SFG","77","85","41","749","162","1469.0","8.38","3.18","1.39",".286","72.6%","42.2%","15.1%","92.9","4.38","","4.55","4.58","8.3"
"2015","COL","68","94","36","746","162","1426.1","7.02","3.65","1.15",".318","69.9%","47.7%","13.2%","93.3","5.04","","4.56","4.33","8.3"
"2003","NYM","66","95","38","573","161","1413.1","5.78","3.67","1.07",".295","72.4%","42.1%","10.1%","","4.50","","4.61","4.78","8.3"
"2014","PIT","88","74","48","614","162","1456.1","7.59","3.08","0.79",".290","74.2%","50.5%","10.3%","94.4","3.49","","3.80","3.71","8.2"
"2014","ARI","64","98","35","650","162","1444.1","7.96","2.92","0.96",".312","70.3%","46.1%","11.1%","92.6","4.26","","3.83","3.63","8.2"
"2009","CIN","78","84","41","640","162","1458.1","6.60","3.56","1.16",".283","74.4%","42.1%","10.9%","91.7","4.18","","4.63","4.50","8.2"
"2001","SDP","79","83","46","584","162","1440.2","6.80","2.97","1.37",".293","71.0%","","","","4.52","","4.62","","8.1"
"2000","CHC","65","97","39","583","162","1454.2","7.07","4.07","1.43",".292","69.5%","","","","5.26","","5.11","","8.1"
"2016","LAA","74","88","29","689","162","1421.1","7.19","3.15","1.32",".301","75.0%","40.8%","12.5%","92.0","4.28","","4.62","4.66","8.0"
"2008","ATL","72","90","26","707","162","1440.2","6.72","3.66","0.97",".293","69.7%","48.3%","11.4%","90.8","4.47","","4.35","4.20","8.0"
"2017","SDP","71","91","45","679","162","1430.2","8.34","3.49","1.42",".299","71.1%","47.5%","16.4%","93.2","4.70","","4.68","4.34","7.9"
"2008","WSN","59","102","28","678","161","1434.0","6.67","3.69","1.19",".296","70.1%","42.4%","11.6%","91.2","4.66","","4.71","4.49","7.9"
"2019","KCR","59","103","37","682","162","1425.0","7.77","3.68","1.40",".311","70.2%","43.9%","14.7%","93.2","5.20","","4.90","4.98","7.9"
"2012","SDP","76","86","43","691","162","1434.2","7.56","3.38","1.02",".284","71.8%","47.5%","11.7%","92.7","4.01","","4.11","4.05","7.8"
"2021","BAL","52","110","26","731","162","1402.0","7.92","3.61","1.66",".305","66.7%","39.7%","15.1%","92.9","5.85","","5.15","4.91","7.8"
"2006","STL","83","78","38","630","161","1429.2","6.11","3.17","1.21",".288","72.5%","46.2%","12.5%","","4.54","","4.77","4.54","7.8"
"2022","ARI","74","88","33","708","162","1430.0","7.65","3.17","1.20",".282","71.2%","39.8%","11.5%","92.6","4.25","","4.33","4.32","7.7"
"2011","MIN","63","99","32","619","162","1421.2","5.95","3.04","1.02",".307","69.1%","44.0%","9.5%","92.1","4.60","","4.30","4.33","7.7"
"2001","KCR","65","97","30","558","162","1440.0","5.69","3.60","1.31",".293","69.9%","","","","4.87","","5.00","","7.6"
"2006","BAL","70","92","35","634","162","1419.0","6.44","3.89","1.37",".307","69.2%","42.3%","12.7%","","5.35","","5.09","4.80","7.6"
"2002","TEX","72","90","33","649","162","1439.2","6.44","4.18","1.21",".298","69.5%","43.2%","12.0%","","5.16","","4.84","4.64","7.6"
"2019","LAA","72","90","32","751","162","1442.2","8.76","3.59","1.67",".290","70.9%","40.4%","17.0%","93.3","5.12","","5.04","4.80","7.5"
"2002","KCR","62","100","30","583","162","1441.0","5.68","3.57","1.32",".296","69.0%","43.1%","12.6%","","5.21","","4.91","4.63","7.5"
"2020","OAK","36","24","17","241","60","515.1","8.84","2.88","1.21",".285","75.6%","41.2%","12.3%","93.1","3.77","","4.02","4.38","7.5"
"2022","KCR","65","97","33","722","162","1416.0","7.57","3.74","1.10",".312","70.3%","43.8%","11.2%","93.9","4.72","","4.42","4.44","7.5"
"2010","MIL","77","85","35","657","162","1439.0","7.87","3.64","1.08",".308","70.0%","41.8%","10.3%","91.1","4.59","","4.21","4.07","7.4"
"2003","STL","85","77","41","622","162","1463.2","5.96","3.12","1.29",".289","72.5%","41.1%","12.2%","","4.62","","4.75","4.60","7.3"
"2004","COL","68","94","36","635","162","1435.1","5.94","4.37","1.24",".311","69.6%","45.3%","12.3%","","5.54","","5.13","4.97","7.2"
"2014","COL","66","96","24","709","162","1431.0","6.75","3.34","1.09",".307","69.2%","47.7%","12.7%","92.9","4.86","","4.43","4.04","7.2"
"2004","TBD","70","91","35","562","161","1417.0","5.86","3.68","1.22",".283","69.2%","40.9%","10.7%","","4.82","","4.93","5.02","7.2"
"2005","PIT","67","95","35","613","162","1436.0","6.00","3.84","1.02",".290","71.6%","43.9%","10.3%","","4.44","","4.57","4.60","7.2"
"2002","PIT","72","89","47","619","161","1412.2","5.86","3.64","1.04",".290","72.8%","47.8%","12.0%","","4.24","","4.49","4.33","7.1"
"2013","SFG","76","86","41","686","162","1447.1","7.81","3.24","0.90",".295","72.1%","42.1%","9.9%","91.3","4.00","","3.80","3.89","7.1"
"2018","BAL","47","115","28","652","162","1431.0","7.57","3.70","1.47",".310","70.0%","41.9%","14.4%","93.0","5.19","","4.98","4.73","7.1"
"2020","TBR","40","20","23","279","60","527.2","9.42","2.87","1.19",".291","77.2%","45.1%","14.9%","94.2","3.56","","3.94","3.94","7.1"
